passenger_count,mean_distance,mean_duration,rush_hour,VendorID_2
6,3.5216666666666665,22.848333333333333,0,True
1,3.108888888888889,24.47,0,False
1,0.8814285714285715,7.250285714285714,1,False
1,3.7,30.25,0,True
1,4.4350000000000005,14.62,0,True
6,2.052258064516129,11.855483870967742,0,True
1,12.83,59.63,1,True
1,4.0225,26.4375,1,True
1,1.0192592592592593,7.872962962962963,0,True
1,1.5799999999999998,10.541333333333334,0,False
1,1.641,14.178,0,True
2,19.21166666666667,40.49666666666666,0,True
1,3.3075,15.057500000000001,1,False
1,2.39,7.87,0,True
1,2.93,19.556,0,False
1,5.949999999999999,17.165,1,True
1,3.266666666666667,14.733333333333334,1,False
2,1.6228571428571428,12.304285714285713,0,True
2,0.6621428571428571,4.577857142857143,1,True
2,2.1383333333333336,13.638333333333334,0,True
1,1.3033333333333335,6.998666666666667,0,False
1,20.552,39.378,0,True
1,0.7076923076923076,5.083076923076923,0,True
1,1.8766666666666667,8.994444444444445,0,False
1,0.6016666666666667,4.660729166666667,0,False
1,1.365,10.89875,0,True
1,3.1500000000000004,16.925,0,False
1,0.9922950819672132,10.048196721311477,0,True
1,2.15,13.94375,0,False
1,30.83,88.75999999999999,0,True
1,2.1277777777777778,14.282222222222222,0,False
4,1.285,9.11125,0,False
1,14.32,28.98,0,True
1,2.6923076923076925,14.447692307692307,1,False
1,1.9633333333333334,17.366,0,False
5,3.214,17.432,0,True
1,0.628974358974359,4.2125641025641025,0,False
1,1.8414285714285714,14.057142857142859,1,True
4,0.8415384615384615,6.177692307692308,0,False
1,1.3384615384615384,6.3342307692307696,0,True
3,1.474705882352941,13.120588235294118,1,True
1,1.7333333333333334,11.07,0,False
1,4.52,16.35,1,True
2,1.455,8.8675,0,True
1,0.6521428571428572,6.186428571428571,1,True
1,1.9735294117647058,12.711764705882352,1,False
4,1.395217391304348,14.096521739130434,0,True
4,3.665714285714286,17.861428571428572,0,True
6,3.5233333333333334,15.089999999999998,0,True
1,0.6303846153846154,5.39,1,True
2,7.37,24.18,1,True
1,1.9580000000000002,12.07,1,False
2,2.5566666666666666,21.56833333333333,0,False
1,1.1355555555555557,6.518518518518518,1,True
1,3.214,17.432,1,False
1,11.11,29.706,0,True
1,2.93,19.556,0,False
2,2.46,9.405000000000001,0,True
1,1.03,9.822857142857144,0,True
1,0.6018918918918919,5.559459459459459,1,True
5,0.5816363636363636,4.194545454545454,1,True
1,1.181904761904762,10.540000000000001,0,True
1,7.63,19.435000000000002,0,True
6,0.7217073170731707,5.328292682926829,1,True
1,1.0374193548387096,6.557258064516129,1,False
6,1.0142105263157895,9.00842105263158,0,True
1,3.776,28.93,0,True
2,3.4442857142857144,21.444285714285716,0,True
1,1.051212121212121,8.531818181818181,1,False
1,0.5216666666666666,4.468333333333333,1,True
4,2.5125,16.57375,0,False
4,1.2989473684210526,7.580526315789474,0,True
2,0.8908333333333334,6.7058333333333335,0,True
4,0.86,4.285,0,True
1,0.9583333333333334,6.285,1,True
6,1.799642857142857,15.055714285714286,0,True
3,4.576666666666667,24.801666666666666,0,False
1,1.7091666666666667,12.616666666666667,0,False
2,11.2,22.27,0,True
1,1.2333333333333334,5.953333333333333,0,False
2,0.9757777777777779,11.678444444444445,1,True
3,5.8225,19.97,0,True
1,0.9544444444444444,7.589629629629629,0,True
1,1.6966666666666665,9.793333333333333,0,True
1,1.3214285714285714,9.417619047619048,0,False
1,0.5986363636363636,4.583181818181818,0,False
1,1.0392063492063492,8.184126984126985,1,False
1,4.96,17.27,0,True
1,4.92,20.58875,1,False
1,9.6,26.93,1,False
1,3.0533333333333332,16.55666666666667,0,False
2,2.0875,12.105,0,True
1,13.8,30.58,0,False
1,1.3761538461538463,11.526923076923076,0,False
2,1.0116216216216216,7.707567567567568,1,True
1,1.5607142857142857,14.825714285714286,0,True
1,1.181904761904762,10.540000000000001,0,True
1,1.4741666666666666,11.185555555555556,0,True
